AttributeColumn,Match,Analyte,StdUnits
"""""""Au""""""",Exact,Au,PPM
"""""""Au2""""""",Start_num,Au,PPM
"""""""Cu""""""",Exact,Cu,PPM
"""""""K%""""""",Start_sep,K,PPM
"""""""Ni""""""",Exact,Ni,PPM
"""""""Pb""""""",Exact,Pb,PPM
"""""""Zn""""""",Exact,Zn,PPM
""",CU""",Exact,Cu,PPM
"""Ag
ppm""",Start_sep,Ag,PPM
"""Ag""",Exact,Ag,PPM
"""Ag-4A/MS-ppm""",Start_sep,Ag,PPM
"""Ag-4A/OE-ppm""",Start_sep,Ag,PPM
"""Ag-4AH/AA-ppm""",Start_sep,Ag,PPM
"""Ag-MA4010-ppm""",Start_sep,Ag,PPM
"""Ag-ppm-4A/MS""",Start_sep,Ag,PPM
"""Ag-ppm-4A/OE""",Start_sep,Ag,PPM
"""Ag-ppm-4AH/AA""",Start_sep,Ag,PPM
"""Ag-ppm-MA4010""",Start_sep,Ag,PPM
"""Ag-ppm-MA41OES""",Start_sep,Ag,PPM
"""Al-4A/OE-ppm""",Start_sep,Al,PPM
"""Al-MA4010-pct""",Start_sep,Al,PPM
"""Al-pct-MA4010""",Start_sep,Al,PPM
"""Al-pct-MA41OES""",Start_sep,Al,PPM
"""Al-ppm-4A/OE""",Start_sep,Al,PPM
"""Al2O3
%""",Start_sep,Al2O3,PCT
"""Al_OES""",Start_sep,Al,PPM
"""Ars""",Exact,As,PPM
"""As
ppm""",Start_sep,As,PPM
"""As 
ppm""",Start_sep,As,PPM
"""As-4A/MS-ppm""",Start_sep,As,PPM
"""As-4A/OE-ppm""",Start_sep,As,PPM
"""As-MA4010-ppm""",Start_sep,As,PPM
"""As-ppm-4A/MS""",Start_sep,As,PPM
"""As-ppm-4A/OE""",Start_sep,As,PPM
"""As-ppm-MA4010""",Start_sep,As,PPM
"""Assay
Au_ppm""",Unmatched,NULL,NULL
"""Au
(ppm)""",Start_sep,Au,PPM
"""Au
ppb""",Start_sep,Au,PPM
"""Au 
ppb""",Start_sep,Au,PPM
"""Au grade
(g/t)""",Start_sep,Au,PPM
"""Au""",Exact,Au,PPM
"""Au-FA50/AA-ppm""",Start_sep,Au,PPM
"""Au-FA50AAS-ppm""",Start_sep,Au,PPM
"""Au-Rp1
ppb""",Start_sep,Au,PPM
"""Au-ppm-FA50/AA""",Start_sep,Au,PPM
"""Au-ppm-FA50AAS""",Start_sep,Au,PPM
"""Au1
ppb""",Exact,Au,PPM
"""AuAvg
ppb""",Unmatched,NULL,NULL
"""Au_100
ppb""",Start_sep,Au,PPM
"""Ba""",Exact,Ba,PPM
"""Ba-4A/MS-ppm""",Start_sep,Ba,PPM
"""Ba-4A/OE-ppm""",Start_sep,Ba,PPM
"""Ba-MA4010-ppm""",Start_sep,Ba,PPM
"""Ba-ppm-4A/MS""",Start_sep,Ba,PPM
"""Ba-ppm-4A/OE""",Start_sep,Ba,PPM
"""Ba-ppm-MA4010""",Start_sep,Ba,PPM
"""Be-4A/MS-ppm""",Start_sep,Be,PPM
"""Be-MA4010-ppm""",Start_sep,Be,PPM
"""Be-ppm-4A/MS""",Start_sep,Be,PPM
"""Be-ppm-MA4010""",Start_sep,Be,PPM
"""Be_MS""",Start_sep,Be,PPM
"""Bi""",Exact,Bi,PPM
"""Bi-4A/MS-ppm""",Start_sep,Bi,PPM
"""Bi-4A/OE-ppm""",Start_sep,Bi,PPM
"""Bi-MA4010-ppm""",Start_sep,Bi,PPM
"""Bi-ppm-4A/MS""",Start_sep,Bi,PPM
"""Bi-ppm-4A/OE""",Start_sep,Bi,PPM
"""Bi-ppm-MA4010""",Start_sep,Bi,PPM
"""Ca""",Exact,Ca,PPM
