AssayId,SampleId,CompanySampleId,Anumber,Company,Longitude,Latitude,SampleType,AttributeColumn,AttributeValue,AttributeUnits,Accuracy,LabMethod,LowerLimit,UpperLimit,Laboratory,Match,Analyte,Method,ImportValue,Qualifier,ImportUnits,StdUnits,Value_StdUnits,Symbol_Unit
148913535,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Pb,10,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Pb,NULL,10,NULL,PPM,PPM,10,Pb_PPM
148913536,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Zn,135,ppm,NULL,ME-MS61,1,NULL,A,Exact,Zn,NULL,135,NULL,PPM,PPM,135,Zn_PPM
148913537,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Ni,68.7,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Ni,NULL,68.7,NULL,PPM,PPM,68.7,Ni_PPM
148913538,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Co,32.9,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Co,NULL,32.9,NULL,PPM,PPM,32.9,Co_PPM
148913538,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Co,32.9,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Co,NULL,32.9,NULL,PPM,PPM,32.9,Co_PPM
148913539,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Sb,0.77,ppm,NULL,ME-MS61,0.01,NULL,A,Exact,Sb,NULL,0.77,NULL,PPM,PPM,0.77,Sb_PPM
148913540,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Bi,0.03,ppm,NULL,ME-MS61,0.01,NULL,A,Exact,Bi,NULL,0.03,NULL,PPM,PPM,0.03,Bi_PPM
148913541,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,W,0.5,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,W,NULL,0.5,NULL,PPM,PPM,0.5,W_PPM
148913542,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Sn,0.2,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Sn,NULL,0.2,NULL,PPM,PPM,0.2,Sn_PPM
148913543,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,Mo,2.06,ppm,NULL,ME-MS61,0.01,NULL,A,Exact,Mo,NULL,2.06,NULL,PPM,PPM,2.06,Mo_PPM
148913544,6674027,NIS004,88996,GATEWAY MINING LTD,119.549572,-27.344094,ROCKCHIP,U,2.1,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,U,NULL,2.1,NULL,PPM,PPM,2.1,U_PPM
148913548,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Au 1,X,ppb,NULL,Au-AA23,5,NULL,A,Start_sep,Au,NULL,NULL,NULL,PPB,PPM,NULL,Au_PPM
148913549,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Ag,0.18,ppm,NULL,ME-MS61,0.01,NULL,A,Exact,Ag,NULL,0.18,NULL,PPM,PPM,0.18,Ag_PPM
148913550,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,As,59.5,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,As,NULL,59.5,NULL,PPM,PPM,59.5,As_PPM
148913551,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Cu,167.5,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Cu,NULL,167.5,NULL,PPM,PPM,167.5,Cu_PPM
148913552,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Pb,9.4,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Pb,NULL,9.4,NULL,PPM,PPM,9.4,Pb_PPM
148913553,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Zn,318,ppm,NULL,ME-MS61,1,NULL,A,Exact,Zn,NULL,318,NULL,PPM,PPM,318,Zn_PPM
148913554,6674028,NIS005,88996,GATEWAY MINING LTD,119.526193,-27.335343,ROCKCHIP,Ni,124,ppm,NULL,ME-MS61,0.1,NULL,A,Exact,Ni,NULL,124,NULL,PPM,PPM,124,Ni_PPM
